FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
HG00380	HG00380	-0.08861817	-0.1798764	0.06220062	0.04835145	-0.08932112	0.006736742	0.004311336	-0.005758206	0.003054047	0.01632538	0.001221078	0.002551829	-0.006557472	-0.009403008	0.01469166	0.006749994	-0.001010273	-0.01249559	0.006727063	0.002182337	-0.01240979	0.01044159	-0.00916662	-0.009078062	-0.0008321181	0.006264898	0.003166132	0.004509158	0.01296915	0.00806402
HG00381	HG00381	-0.09795079	-0.1677304	0.0646579	0.04970254	-0.1528696	7.140421e-05	-0.0001609523	-0.002485668	0.005621671	-0.005690952	-0.004871948	0.004451215	0.01304647	-0.03958735	-0.009861532	-0.06114682	-0.001522905	-0.004819542	0.01550143	-0.02360006	0.004489771	0.01467537	-0.001978509	0.009786965	0.004703927	-0.01175402	-0.01814737	-0.01051083	-0.0009095385	-0.0051324
HG00382	HG00382	-0.08845987	-0.1557001	0.0673927	0.04352268	-0.1671227	0.00836228	-0.007114818	-0.004597767	0.009734406	-0.0029134	-0.016457	0.008407187	0.01451821	-0.04812141	-0.00659044	-0.04397812	-0.003446889	0.004650537	0.01534687	0.005367151	0.007492849	-0.001350238	-0.01499074	0.005005385	0.00470248	-0.003362061	-0.005160133	0.01601296	-0.01283462	-0.003559289
HG00383	HG00383	-0.08176466	-0.1494569	0.07086631	0.03948882	-0.1699484	-0.009791973	-0.007395019	-0.01117422	0.008674873	0.0005253607	-0.006210313	0.006399485	0.009284893	-0.06483274	-0.006761791	-0.06964546	-0.001697181	-0.0005266877	0.002289013	-0.01557244	-0.01410615	-0.01068247	-0.01398248	-0.009317015	0.008537866	-0.008067089	0.0009782112	0.00838046	0.01846292	-0.002902294
HG00384	HG00384	-0.09812073	-0.1637809	0.06898904	0.04858339	-0.1385439	0.01018108	-0.007901963	-0.004041741	-0.004133677	0.001611728	-0.0011484	0.0056065	0.01050473	-0.03456553	-0.009732606	-0.03330856	-0.005487592	0.0003113239	0.005027808	0.008249949	0.01073025	0.0169467	-0.004175128	-0.001181085	-0.009625129	0.00994712	0.0003455621	-0.006694408	-0.001022136	0.01034408
HG00551	HG00551	-0.01762313	-0.1107862	0.06126812	-0.06030301	0.07549695	0.009778517	0.007428907	-0.009100518	0.0040228	0.01115511	-0.01793131	0.02414584	0.009188989	-0.07916777	0.01179865	0.0231072	0.01363834	-0.01290374	-0.01166395	0.05369935	-0.03007655	0.01269581	-0.01740197	0.002612111	-0.007100183	-0.01218821	-0.003629229	-0.0222118	-0.02557467	-0.01253807
HG00553	HG00553	0.04064872	-0.06023273	0.04695899	-0.09565571	0.06399391	-0.004422877	-0.01493828	-0.009796194	0.002907049	0.02716342	-0.02166228	0.006659901	0.007979316	-0.119584	-0.02647444	0.03872294	0.01189399	0.01811597	-0.02968079	0.01263306	0.005919462	-0.01536216	0.02159611	0.01644721	-0.02137997	0.03781034	0.01484085	-0.04234024	0.02948526	-0.01477487
HG00554	HG00554	-0.01566908	-0.1253548	0.04328351	-0.04014244	0.07625671	-0.0001468557	-0.01057707	-0.001274648	-0.01657207	0.007433765	-0.005987575	0.008393244	0.004712654	-0.07456671	0.007958731	0.02491098	-0.03676236	0.001999465	-0.02383854	0.02615138	-0.008896146	0.006940983	-0.00890677	-0.001897155	0.006256481	-0.02139274	0.02615006	-0.0135509	-0.0006907074	0.005082696
HG00637	HG00637	0.02825727	-0.09288405	0.05763993	-0.05703764	0.06032308	0.006870329	-0.003119475	-0.004007778	-0.0009815372	0.01987865	-0.01369804	0.02564305	-0.01811517	-0.07781192	-0.01843008	0.05451544	0.0129738	-0.008688703	0.01878878	0.001437676	0.01921895	-0.01006627	-0.05507331	-0.02987623	-0.004091579	-0.01725466	-0.01080712	-0.006427143	0.02292026	-0.007913464
HG00638	HG00638	0.04443212	-0.08295118	0.04899303	-0.0645862	0.05547172	0.0162181	-0.01441524	-0.009287016	-0.008175259	-0.01206586	-0.01068256	0.02770245	-0.01839184	-0.07038366	-0.007250473	0.02448168	-0.02349889	-0.03345475	0.02217005	0.03526481	-0.008668449	0.009045342	0.009307896	0.01131916	-0.01832558	-0.01369923	-0.01442611	-0.01399817	0.01317809	-0.01207153
