IID,sire,hare
NA21088,ASN,ASN
NA21089,ASN,ASN
NA21090,NA,ASN
NA21091,ASN,ASN
NA21092,ASN,ASN
NA21093,ASN,ASN
NA21094,NA,ASN
NA21095,ASN,ASN
NA21097,ASN,ASN
NA21098,ASN,ASN
NA21099,ASN,ASN
NA21100,ASN,ASN
NA21101,NA,ASN
NA21102,ASN,ASN
NA21103,ASN,ASN
NA21104,ASN,ASN
NA21105,ASN,ASN
NA21106,ASN,ASN
NA21107,ASN,ASN
NA21108,ASN,ASN
NA21109,ASN,ASN
NA21110,ASN,ASN
NA21111,ASN,ASN
NA21112,NA,ASN
NA21113,ASN,ASN
NA21114,ASN,ASN
NA21115,ASN,ASN
NA21116,NA,ASN
NA21117,ASN,ASN
NA21118,ASN,ASN
NA21119,ASN,ASN
NA21120,ASN,ASN
NA21122,ASN,ASN
NA21123,ASN,ASN
NA21124,NA,ASN
NA21125,ASN,ASN
NA21126,ASN,ASN
NA21127,NA,ASN
NA21128,ASN,ASN
NA21129,ASN,ASN
NA21130,ASN,ASN
NA21133,ASN,ASN
NA21135,ASN,ASN
NA21137,ASN,ASN
NA21141,ASN,ASN
NA21142,ASN,ASN
NA21143,ASN,ASN
NA21144,ASN,ASN
