IID,sire,hare
HG01102,NA,HIS
HG01104,HIS,HIS
HG01105,HIS,HIS
HG01107,HIS,HIS
HG01108,HIS,HIS
HG01110,HIS,HIS
HG01111,HIS,HIS
HG01161,HIS,HIS
HG01162,HIS,HIS
HG01164,HIS,HIS
HG01167,HIS,HIS
HG01168,HIS,HIS
HG01170,NA,HIS
HG01171,HIS,HIS
HG01173,HIS,HIS
HG01174,HIS,HIS
HG01176,HIS,HIS
HG01177,HIS,HIS
HG01182,HIS,HIS
HG01183,HIS,HIS
HG01187,HIS,HIS
HG01188,HIS,HIS
HG01190,HIS,HIS
HG01191,HIS,HIS
HG01197,HIS,HIS
HG01198,HIS,HIS
HG01200,HIS,HIS
HG01204,HIS,HIS
HG01205,HIS,HIS
HG01241,HIS,HIS
HG01242,NA,NA
HG01247,HIS,HIS
HG01248,HIS,HIS
HG01286,HIS,HIS
HG01302,NA,HIS
HG01303,HIS,HIS
HG01305,HIS,HIS
HG01308,HIS,HIS
HG01311,HIS,HIS
HG01312,HIS,HIS
HG01323,HIS,HIS
HG01325,HIS,HIS
HG01326,HIS,HIS
HG01334,EUR,EUR
HG01392,HIS,HIS
HG01393,HIS,HIS
HG01395,NA,HIS
HG01396,HIS,HIS
HG01398,HIS,HIS
HG01402,HIS,HIS
HG01403,HIS,HIS
HG01405,HIS,HIS
HG01412,HIS,HIS
HG01413,HIS,HIS
HG01414,HIS,HIS
HG01583,ASN,ASN
HG01586,ASN,ASN
HG01589,ASN,ASN
HG01593,ASN,ASN
HG01789,EUR,EUR
HG01790,EUR,EUR
HG01791,EUR,EUR
HG01879,AFR,AFR
HG01880,AFR,AFR
HG01882,AFR,AFR
HG01883,AFR,AFR
HG01885,AFR,AFR
HG01886,AFR,AFR
HG01889,AFR,AFR
HG01890,AFR,AFR
HG01894,AFR,AFR
HG01896,AFR,AFR
HG01912,AFR,AFR
HG01914,AFR,AFR
HG01915,AFR,AFR
HG01956,AFR,AFR
HG01958,AFR,AFR
HG01985,AFR,AFR
HG01986,AFR,AFR
HG01988,AFR,AFR
HG01989,AFR,AFR
HG01990,AFR,AFR
HG02009,AFR,AFR
HG02010,AFR,AFR
HG02012,AFR,AFR
HG02013,AFR,AFR
HG02014,AFR,AFR
HG02051,AFR,AFR
HG02052,AFR,AFR
HG02053,AFR,AFR
HG02054,AFR,AFR
HG02095,AFR,AFR
HG02107,AFR,AFR
HG02108,AFR,AFR
HG02111,AFR,AFR
HG02143,AFR,AFR
